metric,value
Loss,0.6836178302764893
accuracy,0.7214076246334311
AUC,0.7387747824846669
AP,0.8741600642460712
precision,0.36070381231671556
recall,0.5
f1,0.4190800681431005
Label 0: precision,0.0
Label 1: precision,0.7214076246334311
Label 0: recall,0.0
Label 1: recall,1.0
Label 0: f1,0.0
Label 1: f1,0.838160136286201
subset_acc,0.0
ex_acc,0.8623656630516052
ex_precision,0.8623656630516052
ex_recall,1.0
ex_f1,0.9260970043962661
lab_acc_ma,0.8780952375098412
lab_acc_mi,0.8780952380785124
lab_precision_ma,0.7638095233003175
lab_precision_mi,0.8623655913793039
lab_recall_ma,0.8285714279290598
lab_recall_mi,0.9999999999750623
lab_f1_ma,0.785669919870617
lab_f1_mi,0.9260969976798372
